,ix_bitrate,youtube_viewchange,youtube_views,steam_users,steam_ingame,twitch_views,twitch_channels,twitch_viewtime,twitch_streams,ps_users,stock_med,stock_bank,stock_energy,stock_oil,stock_steel,stock_automotive,stock_telecom,stock_tech,corona_deaths,corona_confirmed,corona_recovered,corona_active,new_confirmed,corona_new_recovered,Date
335,0.79861224,,,0.4631069,1.8597305,-1.1308942,-0.929466,-0.9772795,-0.7103756,0.5181515,0.1453768,1.0928584,1.045095,0.62352383,1.2513934,1.3461472,0.9496529,-0.022608135,0.0,0.0,0.0,0.0,0.0,0.0,2017-12-02
336,0.93097484,,,0.48396447,1.8795564,-1.110559,-0.91663885,-0.9514165,-0.68552333,0.5245129,0.20437829,1.1432253,1.0370164,0.6727396,1.2415286,1.3139063,1.0019585,0.015703056,0.0,0.0,0.0,0.0,0.0,0.0,2017-12-03
337,0.9512556,,,0.48902947,1.8875737,-1.0881582,-0.903253,-0.92367345,-0.66012436,0.658202,0.26337978,1.1935921,1.0289378,0.7219554,1.231664,1.2816654,1.054264,0.054014247,0.0,0.0,0.0,0.0,0.0,0.0,2017-12-04
338,0.90477866,,,0.47948062,1.8877404,-1.0638572,-0.8893539,-0.8942449,-0.63427216,0.7551142,0.10459754,1.0833411,0.894687,0.6256817,1.2072257,1.2034147,1.0188397,-0.084468976,0.0,0.0,0.0,0.0,0.0,0.0,2017-12-05
339,0.8654063,,,0.45894572,1.8793702,-1.0378212,-0.87498677,-0.8633253,-0.6080602,0.68076515,0.039676614,0.9982977,0.89033145,0.3830295,1.0761755,0.97127944,0.8213831,-0.12895797,0.0,0.0,0.0,0.0,0.0,0.0,2017-12-06
340,0.91183263,,,0.4369136,1.866823,-1.0102154,-0.86019707,-0.831109,-0.581582,0.45225123,0.045873515,0.97884446,0.9786429,0.26192126,1.032957,0.95967627,0.8042252,-0.061108258,0.0,0.0,0.0,0.0,0.0,0.0,2017-12-07
341,1.1096879,,,0.4211001,1.8585837,-0.9812052,-0.8450302,-0.79779047,-0.55493104,0.26458952,0.0055309213,1.0942135,1.0854646,0.32659188,1.0686541,1.0505083,0.8341188,0.06323877,0.0,0.0,0.0,0.0,0.0,0.0,2017-12-08
342,1.3856169,,,0.4123838,1.8575724,-0.950956,-0.82953143,-0.76356417,-0.5282008,0.2200596,0.01657605,1.105663,1.0837139,0.34817147,1.0923527,1.0581161,0.911786,0.04575113,0.0,0.0,0.0,0.0,0.0,0.0,2017-12-09
343,1.579525,,,0.4101444,1.8633459,-0.91963285,-0.8137462,-0.7286245,-0.5014847,0.3471885,0.027621178,1.1171125,1.0819632,0.3697511,1.1160514,1.0657238,0.98945326,0.028263487,0.0,0.0,0.0,0.0,0.0,0.0,2017-12-10
344,1.6635891,,,0.41641334,1.8746978,-0.8874013,-0.7977199,-0.693166,-0.4748763,0.56069344,0.038666304,1.1285621,1.0802125,0.3913307,1.1397501,1.0733316,1.0671204,0.010775844,0.0,0.0,0.0,0.0,0.0,0.0,2017-12-11
