,in,,out
1562934599999,3.27767839E10,1562934599999,3.27767839E10
1562938199999,3.1538518E10,1562938199999,3.1538518E10
1562941799999,3.13551708E10,1562941799999,3.13551708E10
1562945399999,3.1845634E10,1562945399999,3.1845634E10
1562948999999,3.35040942E10,1562948999999,3.35040942E10
1562952599999,3.4933838E10,1562952599999,3.4933838E10
1562956199999,3.7024432E10,1562956199999,3.7024432E10
1562959799999,3.5397738E10,1562959799999,3.5397738E10
1562963399999,3.04429691E10,1562963399999,3.04429691E10
1562966999999,2.70412063E10,1562966999999,2.70412063E10
1562970599999,2.06251028E10,1562970599999,2.06251028E10
1562974199999,1.82404321E10,1562974199999,1.82404321E10
1562977799999,1.59080233E10,1562977799999,1.59080233E10
1562981399999,1.50790267E10,1562981399999,1.50790267E10
1562984999999,1.48364268E10,1562984999999,1.48364268E10
1562988599999,1.58253353E10,1562988599999,1.58253353E10
1562992199999,1.73126963E10,1562992199999,1.73126963E10
1562995799999,2.01679565E10,1562995799999,2.01679565E10
1562999399999,2.36026286E10,1562999399999,2.36026286E10
1563002999999,2.62335304E10,1563002999999,2.62335304E10
1563006599999,2.62426378E10,1563006599999,2.62426378E10
1563010199999,2.77678776E10,1563010199999,2.77678776E10
1563013799999,2.79496335E10,1563013799999,2.79496335E10
1563017399999,2.87386911E10,1563017399999,2.87386911E10
1563020999999,2.87946813E10,1563020999999,2.87946813E10
1563024599999,2.96281231E10,1563024599999,2.96281231E10
1563028199999,3.02119137E10,1563028199999,3.02119137E10
1563031799999,3.07913114E10,1563031799999,3.07913114E10
1563035399999,3.07740733E10,1563035399999,3.07740733E10
1563038999999,3.19985418E10,1563038999999,3.19985418E10
1563042599999,3.4587759E10,1563042599999,3.4587759E10
1563046199999,3.4624393E10,1563046199999,3.4624393E10
1563049799999,3.03524495E10,1563049799999,3.03524495E10
1563053399999,2.69246648E10,1563053399999,2.69246648E10
1563056999999,2.15476511E10,1563056999999,2.15476511E10
1563060599999,1.77931981E10,1563060599999,1.77931981E10
1563064199999,1.58345984E10,1563064199999,1.58345984E10
1563067799999,1.44865782E10,1563067799999,1.44865782E10
1563071399999,1.37844695E10,1563071399999,1.37844695E10
1563074999999,1.45353779E10,1563074999999,1.45353779E10
1563078599999,1.6578177E10,1563078599999,1.6578177E10
1563082199999,1.91035884E10,1563082199999,1.91035884E10
1563085799999,2.33387069E10,1563085799999,2.33387069E10
1563089399999,2.61333729E10,1563089399999,2.61333729E10
1563092999999,2.70600827E10,1563092999999,2.70600827E10
1563096599999,2.80162816E10,1563096599999,2.80162816E10
1563100199999,2.92674335E10,1563100199999,2.92674335E10
1563103799999,2.92538655E10,1563103799999,2.92538655E10
1563107399999,2.98693386E10,1563107399999,2.98693386E10
